经度,120.3552,
纬度,36.0580,
开始时间,2021年12月01日 00时,
结束时间,2022年01月15日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,气温℃
2021-12-01,00:00:00,3.5257202148437727
2021-12-01,01:00:00,3.4211364746093977
2021-12-01,02:00:00,3.3334289550781477
2021-12-01,03:00:00,3.2047973632812727
2021-12-01,04:00:00,3.2126098632812727
2021-12-01,05:00:00,3.5738159179687727
2021-12-01,06:00:00,3.4737487792968977
2021-12-01,07:00:00,3.4198242187500227
2021-12-01,08:00:00,3.6602111816406477
2021-12-01,09:00:00,5.089410400390648
2021-12-01,10:00:00,5.677362060546898
2021-12-01,11:00:00,6.319848632812523
2021-12-01,12:00:00,6.948052978515648
2021-12-01,13:00:00,7.060449218750023
2021-12-01,14:00:00,7.074090576171898
2021-12-01,15:00:00,6.574517822265648
2021-12-01,16:00:00,6.259423828125023
2021-12-01,17:00:00,5.046533203125023
2021-12-01,18:00:00,4.916619873046898
2021-12-01,19:00:00,5.748803710937523
2021-12-01,20:00:00,5.692926025390648
2021-12-01,21:00:00,4.604791259765648
2021-12-01,22:00:00,4.299462890625023
2021-12-01,23:00:00,4.586602783203148
2021-12-02,00:00:00,4.675592041015648
2021-12-02,01:00:00,4.927667236328148
2021-12-02,02:00:00,5.063439941406273
2021-12-02,03:00:00,4.965997314453148
2021-12-02,04:00:00,4.928948974609398
2021-12-02,05:00:00,5.558465576171898
2021-12-02,06:00:00,5.660455322265648
2021-12-02,07:00:00,5.835198974609398
2021-12-02,08:00:00,6.054132080078148
2021-12-02,09:00:00,7.324182128906273
2021-12-02,10:00:00,7.684106445312523
2021-12-02,11:00:00,8.040093994140648
2021-12-02,12:00:00,8.927514648437523
2021-12-02,13:00:00,9.273126220703148
2021-12-02,14:00:00,9.512200927734398
2021-12-02,15:00:00,9.278985595703148
2021-12-02,16:00:00,9.243890380859398
2021-12-02,17:00:00,8.632562255859398
2021-12-02,18:00:00,8.348687744140648
2021-12-02,19:00:00,8.025811767578148
2021-12-02,20:00:00,7.676293945312523
2021-12-02,21:00:00,6.955194091796898
2021-12-02,22:00:00,6.577111816406273
2021-12-02,23:00:00,6.464715576171898
2021-12-03,00:00:00,6.333489990234398
2021-12-03,01:00:00,6.247094726562523
2021-12-03,02:00:00,6.063226318359398
2021-12-03,03:00:00,5.766992187500023
2021-12-03,04:00:00,5.674737548828148
2021-12-03,05:00:00,5.947595214843773
2021-12-03,06:00:00,5.783898925781273
2021-12-03,07:00:00,5.716333007812523
2021-12-03,08:00:00,6.045037841796898
2021-12-03,09:00:00,7.753594970703148
2021-12-03,10:00:00,7.916009521484398
2021-12-03,11:00:00,8.016717529296898
2021-12-03,12:00:00,8.431848144531273
2021-12-03,13:00:00,8.670892333984398
2021-12-03,14:00:00,8.985986328125023
2021-12-03,15:00:00,8.667657470703148
2021-12-03,16:00:00,8.512384033203148
2021-12-03,17:00:00,8.234338378906273
2021-12-03,18:00:00,8.563073730468773
2021-12-03,19:00:00,8.658563232421898
2021-12-03,20:00:00,8.605950927734398
2021-12-03,21:00:00,8.050500488281273
2021-12-03,22:00:00,7.722436523437523
2021-12-03,23:00:00,7.404748535156273
2021-12-04,00:00:00,6.983117675781273
2021-12-04,01:00:00,6.719384765625023
2021-12-04,02:00:00,6.498498535156273
2021-12-04,03:00:00,6.139245605468773
2021-12-04,04:00:00,6.029443359375023
2021-12-04,05:00:00,6.595941162109398
2021-12-04,06:00:00,6.481591796875023
2021-12-04,07:00:00,6.831750488281273
2021-12-04,08:00:00,7.097467041015648
2021-12-04,09:00:00,9.269891357421898
2021-12-04,10:00:00,9.909112548828148
2021-12-04,11:00:00,10.371667480468773
2021-12-04,12:00:00,11.237634277343773
2021-12-04,13:00:00,11.546228027343773
2021-12-04,14:00:00,11.702142333984398
2021-12-04,15:00:00,11.027825927734398
2021-12-04,16:00:00,10.361291503906273
2021-12-04,17:00:00,9.348474121093773
2021-12-04,18:00:00,9.464105224609398
2021-12-04,19:00:00,9.684991455078148
2021-12-04,20:00:00,9.887048339843773
2021-12-04,21:00:00,9.754510498046898
2021-12-04,22:00:00,9.712945556640648
2021-12-04,23:00:00,9.720727539062523
2021-12-05,00:00:00,9.339379882812523
2021-12-05,01:00:00,9.327050781250023
2021-12-05,02:00:00,9.241937255859398
2021-12-05,03:00:00,9.002862548828148
2021-12-05,04:00:00,8.834619140625023
2021-12-05,05:00:00,9.217248535156273
2021-12-05,06:00:00,9.056787109375023
2021-12-05,07:00:00,9.192559814453148
2021-12-05,08:00:00,9.547937011718773
2021-12-05,09:00:00,11.487756347656273
2021-12-05,10:00:00,11.661859130859398
2021-12-05,11:00:00,11.708642578125023
2021-12-05,12:00:00,12.131555175781273
2021-12-05,13:00:00,12.067895507812523
2021-12-05,14:00:00,11.992547607421898
2021-12-05,15:00:00,11.364312744140648
2021-12-05,16:00:00,11.273370361328148
2021-12-05,17:00:00,10.555535888671898
2021-12-05,18:00:00,10.643212890625023
2021-12-05,19:00:00,10.694543457031273
2021-12-05,20:00:00,10.790032958984398
2021-12-05,21:00:00,10.643212890625023
2021-12-05,22:00:00,10.741967773437523
2021-12-05,23:00:00,10.766656494140648
2021-12-06,00:00:00,10.586694335937523
2021-12-06,01:00:00,10.448968505859398
2021-12-06,02:00:00,10.356744384765648
2021-12-06,03:00:00,9.798028564453148
2021-12-06,04:00:00,9.380975341796898
2021-12-06,05:00:00,9.496606445312523
2021-12-06,06:00:00,9.319238281250023
2021-12-06,07:00:00,9.113977050781273
2021-12-06,08:00:00,8.971704101562523
2021-12-06,09:00:00,10.304101562500023
2021-12-06,10:00:00,10.473657226562523
2021-12-06,11:00:00,10.765344238281273
2021-12-06,12:00:00,11.376672363281273
2021-12-06,13:00:00,11.622247314453148
2021-12-06,14:00:00,11.659265136718773
2021-12-06,15:00:00,10.831628417968773
2021-12-06,16:00:00,10.330102539062523
2021-12-06,17:00:00,9.402398681640648
2021-12-06,18:00:00,8.805383300781273
2021-12-06,19:00:00,8.264886474609398
2021-12-06,20:00:00,7.842614746093773
2021-12-06,21:00:00,7.430749511718773
2021-12-06,22:00:00,7.105279541015648
2021-12-06,23:00:00,6.978570556640648
2021-12-07,00:00:00,6.407556152343773
2021-12-07,01:00:00,6.217858886718773
2021-12-07,02:00:00,6.037255859375023
2021-12-07,03:00:00,5.609796142578148
2021-12-07,04:00:00,5.381097412109398
2021-12-07,05:00:00,5.387597656250023
2021-12-07,06:00:00,5.206994628906273
2021-12-07,07:00:00,5.109552001953148
2021-12-07,08:00:00,5.296014404296898
2021-12-07,09:00:00,6.719384765625023
2021-12-07,10:00:00,7.122155761718773
2021-12-07,11:00:00,7.549615478515648
2021-12-07,12:00:00,8.357781982421898
2021-12-07,13:00:00,8.802148437500023
2021-12-07,14:00:00,9.206872558593773
2021-12-07,15:00:00,8.712487792968773
2021-12-07,16:00:00,8.539666748046898
2021-12-07,17:00:00,7.779595947265648
2021-12-07,18:00:00,7.756219482421898
2021-12-07,19:00:00,7.336541748046898
2021-12-07,20:00:00,6.904534912109398
2021-12-07,21:00:00,6.233453369140648
2021-12-07,22:00:00,5.938500976562523
2021-12-07,23:00:00,5.864434814453148
2021-12-08,00:00:00,5.560418701171898
2021-12-08,01:00:00,5.807275390625023
2021-12-08,02:00:00,5.524682617187523
2021-12-08,03:00:00,5.106317138671898
2021-12-08,04:00:00,5.026391601562523
2021-12-08,05:00:00,6.460168457031273
2021-12-08,06:00:00,6.475762939453148
2021-12-08,07:00:00,6.054132080078148
2021-12-08,08:00:00,6.305566406250023
2021-12-08,09:00:00,8.110925292968773
2021-12-08,10:00:00,8.527337646484398
2021-12-08,11:00:00,8.899591064453148
2021-12-08,12:00:00,9.495294189453148
2021-12-08,13:00:00,9.683709716796898
2021-12-08,14:00:00,9.811669921875023
2021-12-08,15:00:00,9.606378173828148
2021-12-08,16:00:00,9.675897216796898
2021-12-08,17:00:00,9.015222167968773
2021-12-08,18:00:00,9.265344238281273
2021-12-08,19:00:00,9.545983886718773
2021-12-08,20:00:00,9.694085693359398
2021-12-08,21:00:00,9.987725830078148
2021-12-08,22:00:00,10.185235595703148
2021-12-08,23:00:00,10.359338378906273
2021-12-09,00:00:00,10.232659912109398
2021-12-09,01:00:00,10.302148437500023
2021-12-09,02:00:00,10.066339111328148
2021-12-09,03:00:00,9.624597167968773
2021-12-09,04:00:00,9.629785156250023
2021-12-09,05:00:00,10.074121093750023
2021-12-09,06:00:00,10.244989013671898
2021-12-09,07:00:00,10.673120117187523
2021-12-09,08:00:00,10.737420654296898
2021-12-09,09:00:00,10.959588623046898
2021-12-09,10:00:00,10.640618896484398
2021-12-09,11:00:00,10.712731933593773
2021-12-09,12:00:00,11.191522216796898
2021-12-09,13:00:00,11.308465576171898
2021-12-09,14:00:00,11.379907226562523
2021-12-09,15:00:00,11.035607910156273
2021-12-09,16:00:00,10.842675781250023
2021-12-09,17:00:00,10.406091308593773
2021-12-09,18:00:00,10.267083740234398
2021-12-09,19:00:00,9.922753906250023
2021-12-09,20:00:00,9.659020996093773
2021-12-09,21:00:00,9.013909912109398
2021-12-09,22:00:00,8.583215332031273
2021-12-09,23:00:00,8.223291015625023
2021-12-10,00:00:00,7.725671386718773
2021-12-10,01:00:00,7.537286376953148
2021-12-10,02:00:00,7.262475585937523
2021-12-10,03:00:00,6.909082031250023
2021-12-10,04:00:00,6.768762207031273
2021-12-10,05:00:00,6.029443359375023
2021-12-10,06:00:00,5.606530761718773
2021-12-10,07:00:00,5.305749511718773
2021-12-10,08:00:00,5.274560546875023
2021-12-10,09:00:00,6.634271240234398
2021-12-10,10:00:00,7.296258544921898
2021-12-10,11:00:00,8.289575195312523
2021-12-10,12:00:00,9.340692138671898
2021-12-10,13:00:00,9.942895507812523
2021-12-10,14:00:00,10.433374023437523
2021-12-10,15:00:00,10.254724121093773
2021-12-10,16:00:00,10.333337402343773
2021-12-10,17:00:00,9.034051513671898
2021-12-10,18:00:00,8.722222900390648
2021-12-10,19:00:00,8.328546142578148
2021-12-10,20:00:00,7.916009521484398
2021-12-10,21:00:00,7.356683349609398
2021-12-10,22:00:00,7.100732421875023
2021-12-10,23:00:00,6.771997070312523
2021-12-11,00:00:00,6.316583251953148
2021-12-11,01:00:00,6.308801269531273
2021-12-11,02:00:00,6.277612304687523
2021-12-11,03:00:00,6.349084472656273
2021-12-11,04:00:00,6.391961669921898
2021-12-11,05:00:00,6.152886962890648
2021-12-11,06:00:00,6.233453369140648
2021-12-11,07:00:00,6.268518066406273
2021-12-11,08:00:00,6.325677490234398
2021-12-11,09:00:00,7.364465332031273
2021-12-11,10:00:00,8.129113769531273
