,,»§ºÅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 06:14:10,0.921,9-1-201,0.736,9-1-301,1.014,9-1-501,1.686,9-1-1103,0.977,9-1-1302,0.941,9-1-1401,0.959,9-1-1601,1.385,9-1-1901,0.586,9-1-2002,0.72,9-1-2102,1.157,9-1-2103,1.155,9-1-2202,0.971,9-1-2501,1.32,9-1-2503,0.534,9-1-2602,1.042,9-1-2603,1.094,9-1-2701,0.609,9-1-2801,0.7,9-1-2803,1.19,9-1-2902,1.099,9-1-3001
2022-02-01 13:08:06,0.933,9-1-201,0.739,9-1-301,1.017,9-1-501,1.686,9-1-1103,0.968,9-1-1302,0.946,9-1-1401,0.953,9-1-1601,1.367,9-1-1901,0.587,9-1-2002,0.715,9-1-2102,1.159,9-1-2103,1.14,9-1-2202,0.972,9-1-2501,1.33,9-1-2503,0.532,9-1-2602,1.045,9-1-2603,1.098,9-1-2701,0.62,9-1-2801,0.698,9-1-2803,1.189,9-1-2902,1.096,9-1-3001
2022-02-01 19:13:40,0.922,9-1-201,0.733,,1.009,,1.687,,0.973,,0.939,,0.946,,1.371,,0.587,,0.719,,1.154,,1.157,,0.968,,1.322,,0.535,,1.038,,1.092,,0.613,,0.703,,1.196,,1.098,
2022-02-02 06:09:27,0.925,9-1-201,0.737,,1.027,,1.689,,0.973,,0.94,,0.951,,1.387,,0.587,,0.717,,1.153,,1.161,,0.972,,1.316,,0.535,,1.041,,1.091,,0.616,,0.702,,1.189,,1.104,
2022-02-02 13:13:53,0.918,9-1-201,0.735,,1.017,,1.696,,0.97,,0.941,,0.961,,1.37,,0.584,,0.716,,1.157,,1.148,,0.98,,1.328,,0.533,,1.029,,1.088,,0.613,,0.692,,1.195,,1.097,
2022-02-02 19:09:56,0.922,9-1-201,0.73,,1.018,,1.685,,0.961,,0.938,,0.947,,1.376,,0.583,,0.709,,1.157,,1.147,,0.969,,1.314,,0.535,,1.035,,1.087,,0.615,,0.697,,1.194,,1.094,
2022-02-03 06:24:12,0.926,9-1-201,0.737,,1.013,,1.686,,0.97,,0.935,,0.957,,1.378,,0.582,,0.709,,1.156,,1.159,,0.964,,1.324,,0.526,,1.003,,1.084,,0.62,,0.715,,1.191,,1.106,
2022-02-03 13:08:30,0.923,9-1-201,0.735,,1.02,,1.685,,0.97,,0.93,,0.958,,1.38,,0.592,,0.711,,1.16,,1.149,,0.977,,1.334,,0.531,,1.002,,1.096,,0.614,,0.72,,1.207,,1.109,
2022-02-03 19:14:07,0.92,9-1-201,0.732,,1.021,,1.694,,0.968,,0.932,,0.957,,1.387,,0.591,,0.718,,1.16,,1.154,,0.975,,1.323,,0.531,,1.006,,1.096,,0.621,,0.715,,1.203,,1.107,
2022-02-04 06:11:07,0.922,9-1-201,0.732,,1.017,,1.69,,0.974,,0.933,,0.954,,1.377,,0.594,,0.706,,1.15,,1.155,,0.966,,1.321,,0.531,,1.01,,1.083,,0.611,,0.725,,1.2,,1.1,
