日期,时间,气温℃,地面风速m/s,
2021/12/1,0:00:00,3.525720215,NaN,
2021/12/1,1:00:00,3.421136475,NaN,
2021/12/1,2:00:00,3.333428955,NaN,
2021/12/1,3:00:00,3.204797363,NaN,
2021/12/1,4:00:00,3.212609863,NaN,
2021/12/1,5:00:00,3.573815918,NaN,
2021/12/1,6:00:00,3.473748779,NaN,
2021/12/1,7:00:00,3.419824219,NaN,
2021/12/1,8:00:00,3.660211182,NaN,
2021/12/1,9:00:00,5.0894104,NaN,
2021/12/1,10:00:00,5.677362061,NaN,
2021/12/1,11:00:00,6.319848633,NaN,
2021/12/1,12:00:00,6.948052979,NaN,
2021/12/1,13:00:00,7.060449219,NaN,
2021/12/1,14:00:00,7.074090576,NaN,
2021/12/1,15:00:00,6.574517822,NaN,
2021/12/1,16:00:00,6.259423828,NaN,
2021/12/1,17:00:00,5.046533203,NaN,
2021/12/1,18:00:00,4.916619873,NaN,
2021/12/1,19:00:00,5.748803711,NaN,
2021/12/1,20:00:00,5.692926025,NaN,
2021/12/1,21:00:00,4.60479126,NaN,
2021/12/1,22:00:00,4.299462891,NaN,
2021/12/1,23:00:00,4.586602783,NaN,
2021/12/2,0:00:00,4.675592041,NaN,
2021/12/2,1:00:00,4.927667236,NaN,
2021/12/2,2:00:00,5.063439941,NaN,
2021/12/2,3:00:00,4.965997314,NaN,
2021/12/2,4:00:00,4.928948975,NaN,
2021/12/2,5:00:00,5.558465576,NaN,
2021/12/2,6:00:00,5.660455322,NaN,
2021/12/2,7:00:00,5.835198975,NaN,
2021/12/2,8:00:00,6.05413208,NaN,
2021/12/2,9:00:00,7.324182129,NaN,
2021/12/2,10:00:00,7.684106445,NaN,
2021/12/2,11:00:00,8.040093994,NaN,
2021/12/2,12:00:00,8.927514648,NaN,
2021/12/2,13:00:00,9.273126221,NaN,
2021/12/2,14:00:00,9.512200928,NaN,
2021/12/2,15:00:00,9.278985596,NaN,
2021/12/2,16:00:00,9.243890381,NaN,
2021/12/2,17:00:00,8.632562256,NaN,
2021/12/2,18:00:00,8.348687744,NaN,
2021/12/2,19:00:00,8.025811768,NaN,
2021/12/2,20:00:00,7.676293945,NaN,
2021/12/2,21:00:00,6.955194092,NaN,
2021/12/2,22:00:00,6.577111816,NaN,
2021/12/2,23:00:00,6.464715576,NaN,
2021/12/3,0:00:00,6.33348999,NaN,
2021/12/3,1:00:00,6.247094727,NaN,
2021/12/3,2:00:00,6.063226318,NaN,
2021/12/3,3:00:00,5.766992188,NaN,
2021/12/3,4:00:00,5.674737549,NaN,
2021/12/3,5:00:00,5.947595215,NaN,
2021/12/3,6:00:00,5.783898926,NaN,
2021/12/3,7:00:00,5.716333008,NaN,
2021/12/3,8:00:00,6.045037842,NaN,
2021/12/3,9:00:00,7.753594971,NaN,
2021/12/3,10:00:00,7.916009521,NaN,
2021/12/3,11:00:00,8.016717529,NaN,
2021/12/3,12:00:00,8.431848145,NaN,
2021/12/3,13:00:00,8.670892334,NaN,
2021/12/3,14:00:00,8.985986328,NaN,
2021/12/3,15:00:00,8.667657471,NaN,
2021/12/3,16:00:00,8.512384033,NaN,
2021/12/3,17:00:00,8.234338379,NaN,
2021/12/3,18:00:00,8.56307373,NaN,
2021/12/3,19:00:00,8.658563232,NaN,
2021/12/3,20:00:00,8.605950928,NaN,
2021/12/3,21:00:00,8.050500488,NaN,
2021/12/3,22:00:00,7.722436523,NaN,
2021/12/3,23:00:00,7.404748535,NaN,
2021/12/4,0:00:00,6.983117676,NaN,
2021/12/4,1:00:00,6.719384766,NaN,
2021/12/4,2:00:00,6.498498535,NaN,
2021/12/4,3:00:00,6.139245605,NaN,
2021/12/4,4:00:00,6.029443359,NaN,
2021/12/4,5:00:00,6.595941162,NaN,
2021/12/4,6:00:00,6.481591797,NaN,
2021/12/4,7:00:00,6.831750488,NaN,
2021/12/4,8:00:00,7.097467041,NaN,
2021/12/4,9:00:00,9.269891357,NaN,
2021/12/4,10:00:00,9.909112549,NaN,
2021/12/4,11:00:00,10.37166748,NaN,
2021/12/4,12:00:00,11.23763428,NaN,
2021/12/4,13:00:00,11.54622803,NaN,
2021/12/4,14:00:00,11.70214233,NaN,
2021/12/4,15:00:00,11.02782593,NaN,
2021/12/4,16:00:00,10.3612915,NaN,
2021/12/4,17:00:00,9.348474121,NaN,
2021/12/4,18:00:00,9.464105225,NaN,
2021/12/4,19:00:00,9.684991455,NaN,
2021/12/4,20:00:00,9.88704834,NaN,
2021/12/4,21:00:00,9.754510498,NaN,
2021/12/4,22:00:00,9.712945557,NaN,
2021/12/4,23:00:00,9.720727539,NaN,
2021/12/5,0:00:00,9.339379883,NaN,
2021/12/5,1:00:00,9.327050781,NaN,
2021/12/5,2:00:00,9.241937256,NaN,
2021/12/5,3:00:00,9.002862549,NaN,
2021/12/5,4:00:00,8.834619141,NaN,
2021/12/5,5:00:00,9.217248535,NaN,
2021/12/5,6:00:00,9.056787109,NaN,
2021/12/5,7:00:00,9.192559814,NaN,
2021/12/5,8:00:00,9.547937012,NaN,
2021/12/5,9:00:00,11.48775635,NaN,
2021/12/5,10:00:00,11.66185913,NaN,
2021/12/5,11:00:00,11.70864258,NaN,
2021/12/5,12:00:00,12.13155518,NaN,
2021/12/5,13:00:00,12.06789551,NaN,
2021/12/5,14:00:00,11.99254761,NaN,
2021/12/5,15:00:00,11.36431274,NaN,
2021/12/5,16:00:00,11.27337036,NaN,
2021/12/5,17:00:00,10.55553589,NaN,
2021/12/5,18:00:00,10.64321289,NaN,
2021/12/5,19:00:00,10.69454346,NaN,
2021/12/5,20:00:00,10.79003296,NaN,
2021/12/5,21:00:00,10.64321289,NaN,
2021/12/5,22:00:00,10.74196777,NaN,
2021/12/5,23:00:00,10.76665649,NaN,
2021/12/6,0:00:00,10.58669434,NaN,
2021/12/6,1:00:00,10.44896851,NaN,
2021/12/6,2:00:00,10.35674438,NaN,
2021/12/6,3:00:00,9.798028564,NaN,
2021/12/6,4:00:00,9.380975342,NaN,
2021/12/6,5:00:00,9.496606445,NaN,
2021/12/6,6:00:00,9.319238281,NaN,
2021/12/6,7:00:00,9.113977051,NaN,
2021/12/6,8:00:00,8.971704102,NaN,
2021/12/6,9:00:00,10.30410156,NaN,
2021/12/6,10:00:00,10.47365723,NaN,
2021/12/6,11:00:00,10.76534424,NaN,
2021/12/6,12:00:00,11.37667236,NaN,
2021/12/6,13:00:00,11.62224731,NaN,
2021/12/6,14:00:00,11.65926514,NaN,
2021/12/6,15:00:00,10.83162842,NaN,
2021/12/6,16:00:00,10.33010254,NaN,
2021/12/6,17:00:00,9.402398682,NaN,
2021/12/6,18:00:00,8.805383301,NaN,
2021/12/6,19:00:00,8.264886475,NaN,
2021/12/6,20:00:00,7.842614746,NaN,
2021/12/6,21:00:00,7.430749512,NaN,
2021/12/6,22:00:00,7.105279541,NaN,
2021/12/6,23:00:00,6.978570557,NaN,
2021/12/7,0:00:00,6.407556152,NaN,
2021/12/7,1:00:00,6.217858887,NaN,
2021/12/7,2:00:00,6.037255859,NaN,
2021/12/7,3:00:00,5.609796143,NaN,
2021/12/7,4:00:00,5.381097412,NaN,
2021/12/7,5:00:00,5.387597656,NaN,
2021/12/7,6:00:00,5.206994629,NaN,
2021/12/7,7:00:00,5.109552002,NaN,
2021/12/7,8:00:00,5.296014404,NaN,
2021/12/7,9:00:00,6.719384766,NaN,
2021/12/7,10:00:00,7.122155762,NaN,
2021/12/7,11:00:00,7.549615479,NaN,
2021/12/7,12:00:00,8.357781982,NaN,
2021/12/7,13:00:00,8.802148438,NaN,
2021/12/7,14:00:00,9.206872559,NaN,
2021/12/7,15:00:00,8.712487793,NaN,
2021/12/7,16:00:00,8.539666748,NaN,
2021/12/7,17:00:00,7.779595947,NaN,
